2026-08-16 19:50:28,860 | INFO    | src.loading.postgres_loader | COPY concluído: 3 linhas -> dim_abrangencia
2026-08-16 19:50:28,864 | INFO    | src.loading.postgres_loader | COPY concluído: 9 linhas -> dim_agente
2026-08-16 19:50:28,867 | INFO    | src.loading.postgres_loader | COPY concluído: 9 linhas -> dim_arma
2026-08-16 19:50:28,872 | INFO    | src.loading.postgres_loader | COPY concluído: 3 linhas -> dim_faixa_etaria
2026-08-16 19:50:28,876 | INFO    | src.loading.postgres_loader | COPY concluído: 3 linhas -> dim_sexo
2026-08-16 20:00:56,136 | INFO    | src.loading.postgres_loader | COPY concluído: 5,291,040 linhas -> fact_indicadores
2026-08-16 20:00:56,188 | INFO    | load_postgres_only | Carga no PostgreSQL concluída com sucesso.
2026-08-16 20:15:36,245 | INFO    | __main__ | Aplicando sql\analytics\001_schema_and_core_view.sql
2026-08-16 20:15:36,282 | INFO    | __main__ | Aplicando sql\analytics\002_visoes_dimensionais.sql
2026-08-16 20:15:36,304 | INFO    | __main__ | Aplicando sql\analytics\003_visoes_temporais.sql
2026-08-16 20:15:36,314 | INFO    | __main__ | Aplicando sql\analytics\004_rankings.sql
2026-08-16 20:15:36,320 | INFO    | __main__ | Aplicando sql\analytics\005_pesos_outliers.sql
2026-08-16 20:15:36,327 | INFO    | __main__ | Camada analítica aplicada: 5 arquivo(s) SQL executado(s).
2026-08-16 20:21:09,114 | INFO    | __main__ | Aplicando sql\analytics\001_schema_and_core_view.sql
2026-08-16 20:21:09,169 | INFO    | __main__ | Aplicando sql\analytics\002_visoes_dimensionais.sql
2026-08-16 20:21:09,192 | INFO    | __main__ | Aplicando sql\analytics\003_visoes_temporais.sql
2026-08-16 20:21:09,202 | INFO    | __main__ | Aplicando sql\analytics\004_rankings.sql
2026-08-16 20:21:09,211 | INFO    | __main__ | Aplicando sql\analytics\005_pesos_outliers.sql
2026-08-16 20:21:09,221 | INFO    | __main__ | Camada analítica aplicada: 5 arquivo(s) SQL executado(s).
2026-08-16 20:23:23,073 | INFO    | src.transformation.staging | STAGING construído: 24 linhas (idêntico ao RAW), 14 colunas
2026-08-16 20:23:23,080 | INFO    | src.transformation.dimensions | Anos com cobertura parcial (< 12 meses na fonte): [2031]
